user_id,track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_album_release_year,duration_minutes,track_name_preprocessed,playlist_name_sentiment,track_name_sentiment,cluster,affinity_score
0,6F5c58TMEs1byxUstkzVeM,Roar,4897,77,5MQBzs5YlZlE28mD9yUItn,12217,top hits,2DjIfVDXGYDgRxw7IJTKVb,0,16,0.554,0.772,7,-4.821,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,2013,3.73,roar,0.5,0.0,1,0.5487231969209798
0,2gT8OWcAgPg0yawg1qw4Nv,Loma de Cayenas,9965,51,7gSN3OHB6q52ivR61esxSe,2889,paraiso tropical,37i9dQZF1DWYey22ryYM8U,1,22,0.839,0.899,5,-5.25,0.127,0.342,0.0,0.0969,0.964,129.955,2019,3.8,loma de cayenas,0.0,0.0,19,0.6347740339045946
0,24b20V609aI0WJ8LyxR8qx,The Game & Skrillex: El Chapo,9286,60,19tRwHQ4ZoKnwa1S8zB041,16308,rap gangsta,1Z1gW89x4MSBjkvVjGg7DQ,4,6,0.754,0.909,6,-3.323,0.23,0.138,0.0,0.281,0.591,126.994,2015,3.67,game skrillex el chapo,0.0,-0.4,19,0.7408172879277983
0,6wyr4ReB05D9sJB1Rsmcqo,Chicken Noodle Soup (feat. Becky G),10569,76,76IRLp7YzBVLKsat6Ro9ae,3141,indie,6MQeEHHDs6HQkN5Dlj3oKo,2,10,0.826,0.817,2,-4.081,0.0921,0.00502,1.09e-05,0.294,0.168,97.053,2019,3.92,chicken noodle soup feat becky g,0.0,-0.6,19,0.7752864082254818
0,1hZJcuz9iMoz6tLkFlIaUy,Take My Breath Away,1005,60,1gwQ8OK1YHKpzIxLKuc1MQ,15747,songs top music hits,65HtIbyFkaQPflCa4oW8KO,2,5,0.578,0.477,1,-8.119,0.0228,0.448,0.00031,0.124,0.511,95.892,2007,4.4,take breath away,0.5,0.0,13,0.7757060994803566
0,5LNiqEqpDc8TuqPy79kDBu,Edge of Seventeen - 2016 Remaster,8810,61,3S404OgKoVQSJ3xXrDVlp8,1913,house rising sun,1bMYfBHYBCRHY5LGkjlpSy,5,0,0.591,0.804,0,-7.299,0.0454,0.327,5.98e-06,0.0818,0.658,111.457,2016,5.49,edge seventeen remaster,0.0,0.0,10,0.6022434093894854
0,5LNiqEqpDc8TuqPy79kDBu,Edge of Seventeen - 2016 Remaster,8810,61,3S404OgKoVQSJ3xXrDVlp8,1913,house rising sun,1bMYfBHYBCRHY5LGkjlpSy,5,0,0.591,0.804,0,-7.299,0.0454,0.327,5.98e-06,0.0818,0.658,111.457,2016,5.49,edge seventeen remaster,0.0,0.0,10,0.6022434093894854
0,3bcduSxypEUxlM5UawQ3kD,Mitsubishi,7120,69,5vDJ7p8TCRpjRn1gGrDmpY,10644,trapperz brasil,37i9dQZF1DWWr5uieiPUVM,4,21,0.751,0.57,11,-7.017,0.209,0.126,0.0,0.101,0.705,110.02,2019,3.04,mitsubishi,0.0,0.0,19,0.6513775373675421
0,7fPuWrlpwDcHm5aHCH5D9t,Roses - Imanbek Remix,8069,72,1p5rgTwzlrhJnSdi93zpbd,13754,hits hits top global tracks,4JkkvMpVl4lSioqQjeAL0q,1,11,0.784,0.721,8,-5.457,0.0506,0.0149,0.00424,0.285,0.895,121.966,2019,2.94,roses imanbek remix,0.25,0.0,19,0.6859350290438754
0,7a7wbihbtKPnMCq17iECek,on god,10488,68,7yLZeJTQUK0Dn5MHTLNjyI,19457,central,37i9dQZF1DWY6tYEFs22tT,4,8,0.883,0.301,8,-11.48,0.111,0.109,0.000457,0.0778,0.363,119.965,2019,3.23,god,0.0,0.0,15,0.6833809787750286
