user_id,track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_minutes,track_name_preprocessed,playlist_name_sentiment,track_name_sentiment,cluster
0,0nsG0DmswNIw4MXKVOeplj,Mo Fo,5107,37,2JjGzWuJXcloF0EdR8num1,10653,2019-11-15,techno house best collection top dj electronic music deep house trance tech house dance electro pop,3QEYvCsVXZj8KuzE0bDmcI,0,4,0.7,0.974,6,-4.65,0.11,0.0487,0.0308,0.446,0.626,128.021,3.62,mo fo,0.5,0.0,15
0,3yNZ5r3LKfdmjoS3gkhUCT,bad guy (with Justin Bieber),1080,83,6lMlX68jJrx67hiCqdiDvW,19352,2019-07-11,hits hits top global tracks,4JkkvMpVl4lSioqQjeAL0q,1,11,0.67,0.453,0,-11.265,0.295,0.252,0.33,0.117,0.68,135.055,3.25,bad guy justin bieber,0.25,-0.6999999999999998,2
0,6RCCs5jOIu7ylHAEv8u2U9,Pełnia,8597,54,2ZW3jW3AYNaiwy5qSVNuRa,12515,2020-01-10,global x,37i9dQZF1DWUxHPh2rEiHr,1,12,0.567,0.899,8,-5.486,0.362,0.553,2.79e-05,0.168,0.78,179.949,2.86,pełnia,0.0,0.0,2
0,3yOlyBJuViE2YSGn3nVE1K,My Oh My (feat. DaBaby),1510,94,3Vsbl0diFGw8HNSjG8ue9m,13732,2019-12-06,popular top,1fqkbjEACMlekdddm5aobE,3,23,0.724,0.491,8,-6.024,0.0296,0.018,1.29e-05,0.0887,0.383,105.046,2.85,oh feat dababy,0.55,0.0,15
0,4mqnIo3Yus6PL4S8P5t1MQ,Homegrizzlies,3941,36,06MY63AuRPSndofMf6jE0j,7338,2016-05-16,mexican gangsta rap,28Ke4pXWqF2A5b2GfQ1pQt,4,6,0.643,0.707,7,-4.05,0.407,0.0278,0.0,0.286,0.646,174.179,3.93,homegrizzlies,0.0,0.0,2
0,3TL3pr5KVEp2zhhgZKQhZc,To Be With You,6549,6,6UgDAzE5XGMU8KJxsCIKqh,6628,2004-05-25,rock ballads best rock love songs music hits,0y8MUle9Lf8VDNjPsskzJB,5,7,0.695,0.391,4,-8.66,0.0434,0.352,0.0,0.248,0.47,83.644,3.45,,0.75,0.0,15
0,6pkttXoVimxUSMFbQb52e2,Learn to Fly (feat. Jordan Rakei),3056,1,0A2R7gz1Qvq9IUgmKhnHDu,15749,2014-07-21,soul coffee best mixtape ever,16iNEskDatG5KbDV16F6LR,3,13,0.645,0.622,5,-8.215,0.0456,0.182,0.753,0.0769,0.377,87.036,4.47,learn fly feat jordan rakei,1.0,0.8,15
0,4tOmFSoQA9ji8lTxAbbvq1,I Believe In Love,4473,51,0WLDf5V9llFSTpYTRKofs7,13116,2018-05-25,soul coffee best mixtape ever,16iNEskDatG5KbDV16F6LR,3,13,0.504,0.494,5,-7.623,0.284,0.402,1.62e-06,0.367,0.425,69.32,3.83,believe love,1.0,0.5,15
0,3P5ZMbUFyv5XnJ8WYi0vdZ,Ich weiss was gut ist,7050,10,7LJ3J5Kg1P108JrAC6ahOs,15288,2015-09-25,gangsta rap,5GA8GDo7RQC3JEanT81B3g,4,6,0.78,0.525,7,-7.427,0.34,0.0377,1.01e-05,0.072,0.54,140.096,2.75,ich weiss gut ist,0.0,0.0,2
0,6JEpXOLUX3K8SEZZaiQl4k,Who Am I,8580,29,5iwVMZ8RBNn47Y2eL9yHYp,18762,2019-09-07,smooth hip hop,7ozFIvz1bE1HPgQTUl5qfT,3,9,0.758,0.691,2,-7.12,0.149,0.00794,4.02e-05,0.0659,0.549,96.022,3.63,,0.4,0.0,15
0,1kLnF1k6W0NuJLvukYbRBo,Cruisin',8428,29,3B1MPUkobm7xOzegYDaJVo,3713,2019-01-09,best dance pop japan,37i9dQZF1DXdOtZGKonFlM,2,3,0.697,0.687,0,-5.455,0.0402,0.265,0.0,0.103,0.364,103.962,3.22,cruisin,1.0,0.0,15
0,6kBZQAfn5XjUBaApTfJsVy,No Words - Skit,3956,38,0gqrRf9j8TdNnn0HngmeRA,12795,2015-07-24,hip hop,5DyJsJZOpMJh34WvUrQzMV,4,20,0.734,0.584,6,-6.884,0.43,0.148,0.0,0.383,0.759,130.193,1.6,words skit,0.0,0.0,2
0,78TnMTAFmWUWWCgNXR7D3K,Listen to Your Heart,8005,75,1iI5YZkqNUV7VmrEi4uOP9,9606,1988-10-19,songs top music hits,65HtIbyFkaQPflCa4oW8KO,2,5,0.539,0.583,1,-4.935,0.0275,0.108,0.0,0.111,0.337,86.063,5.47,listen heart,0.5,0.0,15
0,7CmZmiCqn9xKG3rLnr1GKD,Old Time's Sake,2925,0,04r9yvH25PwePggAYZQYq8,13405,2009-05-15,oldschool gangsta rap,0t9TeyXE2mWe70JT3YwSoH,4,6,0.775,0.829,1,-1.933,0.304,0.0606,0.0,0.33,0.836,176.047,4.64,old time sake,0.0,0.1,2
0,0x1k6gSTSxaLxe0F2IThaX,Detente,6365,79,3UbZvsLswQE2L5mBiGlzO0,11125,2019-11-15,reggaeton,7xWuNevFBmwnFEg6wzdCc7,1,19,0.736,0.585,7,-4.617,0.346,0.273,0.0,0.106,0.363,171.932,3.03,detente,0.0,0.0,2
